 1-757.5247215619247 2-466.38161977614004 3-887.346640194347 4-508.4241046947253 MY-656.2000433846862 G:_-210.18157639145386 loss-38207.9609375
 1-640.2622448578458 2-487.4428484719619 3-910.1516855746013 4-533.1621977634843 MY-872.291750849639 G:_--284.8489023776771 loss-272544.3125
 1-536.9014946858862 2-492.5669851255194 3-846.0829324959639 4-609.6727698242969 MY-712.735670057769 G:_--120.16868493224956 loss-91828.6171875
 1-644.5151423434539 2-468.36340440078817 3-833.2191555450149 4-579.3692506144769 MY-534.5284981597976 G:_-833.8349062409907 loss-598033.375
 1-629.3150118262472 2-464.76110343279964 3-904.6354512540358 4-467.65453131512504 MY-491.80056385126267 G:_-372.960539581537 loss-152626.671875
 1-658.9496331526119 2-491.9199696356216 3-887.8472784517447 4-467.89026442860484 MY-869.5511997624059 G:_--301.66093533380104 loss-213525.921875
 1-659.0820828809888 2-545.1041162242743 3-942.2390880506133 4-581.4367767871454 MY-601.5704787594872 G:_-343.53363746478715 loss-103301.4609375
 1-777.3687286022835 2-473.74541100064846 3-971.0221727048752 4-558.5830529617965 MY-595.28134319756 G:_-278.4640678030885 loss-60958.375
 1-621.6066656490534 2-474.7660277404848 3-815.416827545876 4-459.7228384680965 MY-666.9706467365596 G:_--107.24780826846313 loss-75780.0625
 1-775.1095479705948 2-520.9982725374769 3-874.106141661587 4-527.9423833495694 MY-613.4879058216001 G:_-307.5103667158768 loss-119491.359375
 1-739.4570289481244 2-646.2051938049356 3-923.6306426348286 4-480.4369427135805 MY-721.4793007317222 G:_-158.95764198185827 loss-24642.400390625
 1-804.1563865324249 2-524.59654198513 3-804.3929626791806 4-518.711499165626 MY-819.8247510848314 G:_--301.11325191920537 loss-213754.15625
 1-642.0449753819672 2-496.18835052998713 3-862.8384949954317 4-548.8623218837557 MY-799.2061024822698 G:_--203.01775195228265 loss-122027.71875
 1-748.2469614793448 2-583.8576354752096 3-755.3735772755573 4-595.5315895175396 MY-503.1385703281324 G:_-1680.7190651470771 loss-2802841.25
 1-616.1382184424536 2-477.6750146333299 3-838.6998481413112 4-485.60904660471596 MY-732.4945058961201 G:_--154.81949126279022 loss-64887.9296875
 1-651.1946834423087 2-522.6239202763037 3-783.3909763968094 4-498.81281783067107 MY-646.9022471006023 G:_-251.9105707300688 loss-27183.244140625
 1-734.2947694516106 2-482.07586620257973 3-862.8569779042019 4-553.5086815630207 MY-571.4343760312481 G:_-310.6414901713316 loss-74815.015625
 1-583.5110402680268 2-444.4741900717863 3-837.2385680224165 4-456.23235669237374 MY-650.1094323078962 G:_--105.63524223610989 loss-44658.109375
 1-598.4184504893624 2-470.3395592461635 3-1012.3972551366116 4-474.2946872172332 MY-534.8176824868648 G:_-335.5218767592987 loss-58872.04296875
 1-769.3596876331618 2-496.9121046342151 3-938.0753085362613 4-478.61957368771544 MY-660.6131176135974 G:_-218.00645607411803 loss-57993.95703125
 1-735.7050690663845 2-522.890624053529 3-818.6168676663738 4-517.5434121463416 MY-732.5324125554778 G:_-185.01099959086378 loss-33279.765625
 1-636.1032287463271 2-591.5562481886896 3-838.8622187178789 4-456.029179771306 MY-886.8937252210493 G:_--430.8645454497433 loss-349756.78125
 1-682.9985949637565 2-503.62547611916085 3-852.2622445206636 4-426.93976930461037 MY-554.2273580948159 G:_-272.7124112097944 loss-34552.15625
 1-635.1817568101296 2-704.6617679260165 3-819.7553472777693 4-470.5025705671601 MY-859.3852664914551 G:_--388.88269592429504 loss-338510.75
 1-768.7219469407141 2-474.5886166326474 3-865.4942282420142 4-499.18687143039034 MY-1013.1345136807311 G:_--538.5458970480836 loss-564031.8125
 1-601.7245169215615 2-491.2502285901436 3-863.9228624288218 4-534.8439083238983 MY-520.267951508936 G:_-870.9822770812076 loss-683890.375
 1-677.489376283224 2-553.4411166054417 3-757.6440033398767 4-530.756142733705 MY-1046.3844856992578 G:_--515.6283429655527 loss-332274.84375
 1-649.0722613429177 2-474.21203544770225 3-850.3154554416641 4-555.3615533388287 MY-532.8166701201116 G:_-841.3953653275908 loss-704953.1875
 1-793.9262522810103 2-419.81519861913716 3-906.550596457278 4-493.47154718820957 MY-527.7129685505893 G:_-292.1022300685479 loss-52002.73828125
 1-757.2585011707212 2-479.5311477731288 3-839.4059075555898 4-519.3443595470449 MY-678.5569336327849 G:_-200.97421414034392 loss-35137.390625
 1-674.827923805872 2-494.5039046295966 3-793.2434352347776 4-475.7444534371172 MY-503.45088074767494 G:_-372.29357268944227 loss-127516.7734375
 1-843.9145617197725 2-437.19966507212325 3-789.5148905206029 4-569.557290697927 MY-618.7842025013034 G:_-218.41546257081984 loss-30690.423828125
 1-689.3078355890625 2-502.58909744667113 3-839.7890853529358 4-449.7304091294436 MY-498.67621891536027 G:_-851.0541902140833 loss-674499.4375
 1-601.3333523769716 2-558.4211038719975 3-913.962346660505 4-516.6840003710587 MY-774.6044242850843 G:_--157.9204239140256 loss-76418.1875
 1-608.0363097320417 2-588.3345187523474 3-667.3648777144138 4-493.42676101177256 MY-906.0660678251788 G:_--412.6393068134063 loss-320386.875
 1-572.987647391702 2-617.4781349943131 3-889.7949029943076 4-576.853760695664 MY-756.7367009586899 G:_--83.74905356698787 loss-67466.8984375
 1-625.4112109019163 2-453.84251803584675 3-820.7959938357527 4-609.4838025839141 MY-587.0224655398933 G:_-766.8200524959534 loss-535971.8125
