 1-676.9400088372302 2-595.3248051506507 3-824.7285085856356 4-614.5224789517387 MY-654.0075960253483 G:_-341.3172091253024 loss-39826.90234375
 1-681.2962765495079 2-539.2293030801765 3-867.0343199527852 4-563.5980529232296 MY-768.3882569515896 G:_--129.15895387141313 loss-128286.078125
 1-699.3570630684562 2-516.5523195742189 3-968.1129666067343 4-726.6119279364683 MY-575.0060462002994 G:_-841.5462733739196 loss-294634.1875
 1-717.742531909436 2-556.1642439381538 3-861.8561371734288 4-512.3835929861552 MY-536.464594048243 G:_-875.9189989379122 loss-149804.984375
 1-700.8712225001209 2-532.2048963493681 3-809.568386756658 4-469.8914943590114 MY-637.3886866889382 G:_-232.50280767007325 loss-21414.150390625
 1-759.0162348381189 2-531.8215471857808 3-816.5940437333603 4-613.3910789459711 MY-690.4640786236595 G:_-241.3574685621213 loss-41051.27734375
 1-698.9759548123131 2-588.7061846613597 3-949.2061487893204 4-766.5020696744763 MY-814.058278750656 G:_--125.35209408929632 loss-190807.796875
 1-802.2793180380684 2-586.170187705926 3-874.7831428648664 4-589.5071530008031 MY-928.1160565721696 G:_--341.9458688662436 loss-565622.625
 1-619.4179854388833 2-594.0493805426031 3-836.2752218270421 4-544.9324716616285 MY-573.0000026227575 G:_-871.932469038871 loss-303696.15625
 1-657.4477916144255 2-629.2275201912086 3-859.9371309785406 4-485.2019307599227 MY-673.619165065368 G:_--88.41723430544528 loss-234725.4375
 1-698.1047135861854 2-534.5405730728179 3-804.0991336413344 4-641.4619299934152 MY-620.8561047435662 G:_-813.6844683292517 loss-184596.953125
 1-614.1968989143431 2-580.588192351267 3-895.8183780864058 4-649.8048183756998 MY-669.8525471691592 G:_-10.735645182107874 loss-175533.3125
 1-826.7157431956933 2-641.8120000469299 3-953.9983948197778 4-605.6753666672729 MY-635.2234601640636 G:_-870.4519065032093 loss-392445.5
 1-761.3853353701938 2-518.2175005711664 3-940.7955535407586 4-614.5885404462523 MY-953.5617414844697 G:_--435.34424091330334 loss-506216.90625
 1-640.8468213679986 2-588.1892920097628 3-924.0799970163173 4-533.8279860583685 MY-896.2846930501064 G:_--262.45670699173786 loss-424181.0
 1-770.4231987274354 2-663.3284996108155 3-991.8314555938604 4-579.13891709651 MY-900.4893704283686 G:_--221.3504533318586 loss-386175.34375
 1-719.0395314571265 2-646.7848275194865 3-752.314759619333 4-615.7069640041441 MY-721.0326953675461 G:_--5.325731363402042 loss-276159.71875
 1-650.1133134469046 2-537.3721733258687 3-963.8878400430472 4-637.3055350720787 MY-649.9904386916683 G:_-287.3817346342005 loss-31656.673828125
 1-840.0328961992503 2-516.8578594211913 3-901.5479255406542 4-483.41748698834124 MY-572.4328955991306 G:_-310.98459138921066 loss-23972.25
 1-771.5213930886744 2-688.4398790759228 3-828.1256599450593 4-603.0371460312067 MY-718.5986445779816 G:_-284.43850145322506 loss-27084.541015625
 1-875.074442063635 2-590.7027726294082 3-868.3962561979819 4-578.9798795156041 MY-567.045030568205 G:_-1611.9348489473991 loss-1520796.75
 1-614.3296288622432 2-553.9013641614528 3-913.7321379715431 4-733.2222615061698 MY-553.122079295351 G:_-1600.7792848661018 loss-1484836.875
 1-720.2787671932302 2-579.9108735688777 3-849.3857772932628 4-607.0282738956731 MY-853.1238240794677 G:_--273.21295051058996 loss-414752.40625
 1-796.1368233744942 2-666.3677326298961 3-851.5034177426166 4-600.3861907974025 MY-598.0324988405499 G:_-1602.3536919568526 loss-1778430.375
 1-733.2876774630284 2-588.810991351305 3-843.0016189879932 4-646.3083023230911 MY-855.9551154287535 G:_--267.1441240774485 loss-316148.6875
 1-613.8981530606826 2-602.6296265574313 3-785.2992753540395 4-539.1165654004978 MY-939.8793582438649 G:_--400.76279284336704 loss-674234.375
 1-684.4237795084915 2-642.9941400265214 3-945.6686675342161 4-543.1271389682039 MY-678.6220657181457 G:_-264.5050732500582 loss-18465.77734375
 1-554.7093178090437 2-617.9313711863188 3-943.1525096771718 4-486.7624376609691 MY-721.6128852006426 G:_--134.8504475396735 loss-301950.71875
 1-653.4459456708091 2-544.5499919677151 3-860.1856848339205 4-1012.2037808902691 MY-751.0638325121549 G:_-193.48615945556014 loss-26599.009765625
 1-660.151231463313 2-631.0088752262875 3-811.5774705877748 4-530.5274581372294 MY-581.654247797222 G:_-848.8732103400074 loss-285384.28125
 1-737.2287225320753 2-740.4646988997384 3-859.9908904406138 4-525.9825881117187 MY-687.6809577641444 G:_-738.3016303475742 loss-98121.640625
 1-705.9531077631399 2-547.3207590966172 3-961.7343599265943 4-688.0401379688884 MY-730.856872902907 G:_--83.53611380628979 loss-163725.890625
 1-718.7448103817343 2-509.25930229722707 3-890.1363148195255 4-528.9436763942289 MY-984.4163132786442 G:_--475.15701098141716 loss-728635.6875
 1-640.8662105414611 2-602.2649413179917 3-731.994966516525 4-648.8348270710358 MY-613.7621622424248 G:_-888.5027790755669 loss-312968.0
 1-831.8188198325377 2-558.0555920821562 3-773.6641918354553 4-503.1508692859058 MY-636.8689339797014 G:_-266.2819353062044 loss-12055.0322265625
 1-563.8287185848916 2-546.7977259035869 3-865.4907128211665 4-622.0376549795595 MY-675.2363063968454 G:_--28.43858049325854 loss-131901.609375
 1-618.3894205109315 2-691.0001245695374 3-918.069964418611 4-597.7493050872448 MY-617.8534660075369 G:_-879.8958390797079 loss-245559.796875
 1-721.2034301947816 2-680.2737788777645 3-971.8574582046505 4-595.1879320347883 MY-608.223516641589 G:_-886.9644153931994 loss-376947.125
 1-652.0106579822398 2-721.6875212291907 3-848.2083291677515 4-590.8220062167451 MY-669.2254284273341 G:_-321.59657778941096 loss-11564.81640625
 1-822.0071994659226 2-513.6664428357246 3-963.548208593792 4-658.5986197633649 MY-754.2018055092796 G:_-159.4646373264451 loss-27559.619140625
 1-674.21371784004 2-663.6537777427508 3-930.0378863112137 4-600.492393059985 MY-971.8916632364625 G:_--371.39927017647744 loss-521860.34375
 1-801.3517085836055 2-511.96135968806806 3-964.9753568297709 4-620.3843072882343 MY-736.1607132634073 G:_-175.80064642466078 loss-63277.25390625
 1-704.0025730882203 2-588.7842955843169 3-762.4277617839113 4-634.8784778947188 MY-834.3902449993057 G:_--245.6059494149888 loss-320636.4375
 1-694.8914204652235 2-568.0744286348025 3-797.879533273471 4-717.956872848569 MY-613.6050248515004 G:_-854.4694037833021 loss-213688.71875
 1-743.7849189403385 2-651.341035742921 3-864.7307965896766 4-585.077396721798 MY-752.0467836117858 G:_--66.96938688998785 loss-196191.75
 1-701.5959981601823 2-526.0845738112962 3-954.1835459806102 4-571.712569845776 MY-622.2848652967195 G:_-303.79970851457665 loss-13486.0107421875
 1-831.9644550051925 2-560.15549060134 3-861.3593757648346 4-544.2994759384894 MY-592.1080562079967 G:_-352.1914197304927 loss-20311.24609375
 1-663.2115116522742 2-548.7044516186929 3-841.5758472775423 4-633.1114655430868 MY-691.035056950081 G:_--42.33060533138803 loss-155040.515625
 1-811.3179861748451 2-678.4082500137218 3-936.0574337218087 4-471.6859096546192 MY-673.6697769853353 G:_-698.0161326692839 loss-131566.65625
 1-767.1926396878288 2-594.8811368237742 3-858.2183130560683 4-577.7529364091441 MY-678.5043619225771 G:_-299.248574486567 loss-26409.423828125
 1-597.676469942156 2-510.8227232758545 3-846.5951317641612 4-580.0367059725022 MY-599.8570926659118 G:_-10.965630609942764 loss-183532.796875
